company,Education,experience,industry,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,Degree_PG,Degree_UG
MM Media Pvt Ltd,"B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization, Post Graduation Not Required",0 - 1 yrs,Media,2.11E+11,Chennai,Walkin Data Entry Operator (night Shift),1,"1,50,000 - 2,25,000 P.A",5/21/16,,Under Graduate
find live infotech,B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization,0 - 0 yrs,Advertising,2.11E+11,Chennai,Work Based Onhome Based Part Time.,60,"1,50,000 - 2,50,000 P.A. 20000",5/21/16,Post Graduate,Under Graduate
Softtech Career Infosystem Pvt. Ltd,Any Graduate,4 - 8 yrs,IT Software Services,1.01E+11,Bengaluru,Pl/sql Developer - SQL,1,Not Disclosed by Recruiter,10/13/16,,
Onboard HRServices LLP,Any Graduate,11 - 15 yrs,Banking,81016900536,"Mumbai, Bengaluru, Kolkata, Chennai, Coimbatore, Tamilnadu",Manager/ad/partner - Indirect Tax - CA,1,Not Disclosed by Recruiter,10/13/16,,
Spire Technologies and Solutions Pvt. Ltd.,"B.Tech/B.E. - Any Specialization PostgraduateAny Postgraduate - Any Specialization, MCA - Computers, M.Tech - Any Spe",6 - 8 yrs,IT Software Services,1.21E+11,Bengaluru,JAVA Technical Lead (6-8 yrs) -,4,Not Disclosed by Recruiter,10/13/16,Post Graduate,Under Graduate
PFS Web Global Services Pvt Ltd,"B.Tech/B.E. - Any Specialization PostgraduateMCA - Computers, M.Tech - Any Specialization, Computers, MS/M.Sc(Science",2 - 5 yrs,IT Software Services,1.31E+11,Bengaluru,WALK IN - As400 Developer - Pfsweb Global Services (bangalore),1,Not Disclosed by Recruiter,10/13/16,Post Graduate,Under Graduate
Kinesis Management Consultant Pvt. Ltd,Any Graduates,1 - 3 yrs,IT Software Services,1.31E+11,"Delhi NCR, Mumbai, Bengaluru, Kochi, Greater Noida, Gurgaon, Hyderabad, Kozhikode, Lucknow",PHP Developer,2,"3,00,000 - 6,50,000 P.A",10/13/16,,
"Agile HR consultancy Pvt. Ltd. hiring for Rossell Techsys, Bangalore.","Diploma - Any Specialization, Electrical, Electronics/Telecommunication",2 - 7 yrs,Aviation,1.21E+11,Bengaluru,Member Technical Staff-wire Harness/cable Harness/technicians,20,Not Disclosed by Recruiter,10/13/16,,
HANSUM INDIA ELECTRONICS PVT.LTD.,"Diploma - Any Specialization, Electronics/Telecommunication",1 - 3 yrs,Industrial Products,1.31E+11,Bengaluru,Team Leader,2,"1,00,000 - 2,00,000 P.A",10/13/16,,
Accenture,Any Graduate,1 - 5 yrs,IT Software Services,1.21E+11,Bengaluru,German Translator,1,Not Disclosed by Recruiter,10/13/16,,
Premium,Any Graduate,1 - 3 yrs,Food,1.01E+11,"Mumbai, Delhi, Bengaluru",Business Development Manager,1,Not Disclosed by Recruiter,10/13/16,,
Convate hiring for Retail/e-commerce domain,Any Graduate,4 - 8 yrs,IT Software Services,61016003187,Bengaluru,Opening for Android Developer-bangalore-4-8 yrs,1,Not Disclosed by Recruiter,10/13/16,,
Sinai Global,"B.Tech/B.E. - Any Specialization, Diploma - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Doc",2 - 4 yrs,IT Software Services,1.31E+11,Bengaluru,Full Stack Web Application (php) Developer,2,"1,75,000 - 2,50,000 P.A",10/13/16,,Under Graduate
Mathematical Computing Software Company,B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization Doctorate:Doctorate Not Required,3 - 8 yrs,IT Software Services,1.31E+11,Bengaluru,Looking for an Application Engineer-fpga,1,Not Disclosed by Recruiter,10/13/16,Post Graduate,Under Graduate
Accenture,Any Graduate,1 - 5 yrs,IT Software Services,1.21E+11,Bengaluru,Revenue Assurance,1,Not Disclosed by Recruiter,10/13/16,,
